id,질문,내용
번호 112,유통산업발전법에 따른 판매시설 건축허가 관련,"질의 : 유통산업발전법령에 따른 지방자치단체의 조례에서 전통상업보존구역에서는 대규모점포 또는 준대규모점포의 개설등록 할 수 없도록 규정하고 있는 경우 판매시설(상점 1,000제곱미터 이상)의 건축허가를 반려하여 사전 등록을 제한하여야 하는지 여부
답변 :
가. 질의의 경우는 유통산업발전법령 및 지방자치단체의 조례를 담당하고 있는 지식경제부나 해당 조례 운영권자가 관련 규정을 검토하여 판단할 사항으로 사료됩니다.나. 참고로, 건축법령을 적용하기 위해 건축물의 용도별 종류를 규정하고 있는「건축법 시행령」 별표1에 의하면 판매시설의 종류에는 도매시장 (농수산물 공판장 등), 소매시장(대규모 점포), 상점이 포함됩니다.따라서, 유통산업발전법령 등에서 전통상업보전구역에서 건축법령에서 규정한 판매시설 전체를 등록 또는 건축허가를 제한하고 있는지 여부를 검토할 필요가 있다고 판단됩니다."
번호 111,다락 바닥면적 산입여부,"질의 : 지하4층, 지상6층 건축물의 5층 부분의 층고(5.75m)가 높아 천정을 새로 설치하고자 하는 경우, 기존 천정과의 사이에 생기는 공간(평균높이 1.5미터 이하)을 다락으로 보아 바닥면적에 산입하지 아니하여도 되는지 여부
답변 :"
번호 110,공동주택의 명의변경시 근저당 설정을 해제해야하는지 여부,"「건축법 시행령」제12조제4항에 따르면 허가를 받았거나 신고한 사항을 변경(건축주 변경 포함)하는 경우에는 같은법 시행령 제9조제1항을 준용토록 하고 있으며,건축주를 변경하는 경우에는 같은 법 시행규칙 제11조에 따라 변경 전 건축주의 명의변경동의서 또는 권리관계의 변경사실을 증명할 수 있는 서류를 첨부하여 허가권자에게 제출하도록 하고 있습니다.이 경우, 질의의 근저당 해제가 필요한지 여부는 「건축법」과 「민법」등 관계법령에 따라 변경전 건축주의 당해 토지 및 건축허가 등에 대한 권리의 위임이 정당한지, 건축주가 대지의 소유에 관한 정당한 권한을 확보하고 있는지 등을 종합적으로 검토하여 당해 허가권자가 판단할 사항입니다."
번호 109,"건축, 주택관련 민원은 온라인 어디에서 신청할 수 있나요?","건축민원 상시 상담제 시행계획 안내
우리구에서는 민원인께서 건축관련 민원과 관련하여 건축과를 방문할 경우, 담당자 부재에 따른 반복 방문과 민원처리시간 지연 등으로 인한 불편을 방지할 수 있도록 아래와 같이 민원상시 상담제를 실시 하고자 합니다.O 민원상담 사전 신청 대상- 건축 인허가관련, 진정, 일반 건축상담 등 방문민원 및 전화민원 일체
O 민원상담 신청 방법- 건축과 앞 민원상담실 안내데스크(2층)에서 신청- 건축과에 전화로 신청O 시행일 : 2012. 2. 1
아울러 상시상담제 시행일 이후에 신청하지 않고 방문하시는 민원인 및 전화민원에 대하여는 민원인을 위한 충실한 상담을 위하여  담당자와의 상담이 제한될 수 있음을 이해하여 주시기 바라며, 상시 상담제도가 조기에 정착될 수 있도록 적극 협조하여 주시기 바랍니다.금천구청 건축과 (2627-2390~2)"
번호 108,건축관계변경시 도면제출 여부?,건축관계변경신고시는 도면이 필요하지 않고 신고서 작성하여 제출하면 됩니다
번호 107,건축관계자변경신고 시(시공자) 구시공자의 포기각서 제출여부,건축관계자변경신고서는 건축주가 신청해야 하며 시공자변경은 구 시공자의 포기각서는 이해당사자간 사항으로 포기각서 제출의무는 없습니다.
번호 106,공동소유 건축물을 일반건축물로 변경할 수 있는지?,건축물대장의 기재 및 관리 등 에 관한규칙 별지 제13호 서식에 의거 건축물대장 합병신청서를 제출하면 됩니다.
번호 105,사용승인시 공동건축주 전원의 동의 여부,사용승인시에는 전원 건축주의 동의가 필요합니다.
번호 104,설계자는 건축관계자변경신고 대상에 해당되는지,설계자는 건축관계자변경신고 대상이 아님을 알려드립니다.
번호 103,건축법령에 따른 공사감리 규정,가. 1991.5.31. 전문개정 이전 공공 건축공사의 감리에 대한 「건축법」의 규정나. 1984년 이후 책임감리대상이 아닌 공공 건축공사에 대하여 「건축법」에 의하여 공사감리를 시행하여야 하였는지 :
번호 102,위반건축물에서의 행위제한,"건축물의 일부를 무단용도변경하여 시정명령이 내려진 위반건축물 내의 위반 사항이 없는 부분에 노인여가복지시설인 노인교실 설치 신고행위의 처리가 가능한지 여부 :
「건축법」제79조제2항에 따라 허가권자는 위반건축물에 대하여 당해 건축물을 사용하여 행할 다른 법령에 의한 영업 기타 행위의 허가를 하지 아니하도록 요청할 수 있습니다.이와 관련, 상기 규정에서 ‘허가’란 위반건축물을 사용하여 행할 다른 법령에 의한 영업 기타 행위의 ‘허가행위’를 말하는 것으로 행정청에 대하여 일정한 사항을 통지함으로써 의무가 끝나는 ‘신고’에 대하여는 상기의 ‘허가’에 해당되지 않는 것으로 법제처에서 해석하고 있는 바, 질의의 경우가 이에 해당되는 경우라면 처리가 가능할 것으로 사료됩니다."
번호 101,금천구 건축위원회 심의기준,금천구 건축위원회 심의기준에 대하여 첨부와 같이 알려드립니다.
번호 100,건축행위 시 구조기술사에 의해 구조계산이 이루어져야하는 건축물,"질의 : 건축행위 시 구조기술사에 구조계산이 이뤄져야 하는 건축물의 기준은?
답변 : 구조기술사에 의해 구조계산이 이뤄져야 하는 건축물의 기준은 다음과 같습니다.
- 6층 이상 건축물
- 기둥과 기둥사이 거리가 30미터 이상
- 다중이용건축물
- 한쪽 끝은 고정되고 다른 끝은 지지되지 아니한 구조로 된 차양 등이 외벽의 중심선으로부터 3미터 이상 돌출된 건축물"
번호 99,건축업자 선정대상 건축물,"질의 : 건설업자 선정대상 건축물의 기준
답변 : 주거용 건축물 - 연면적 661제곱미터 초과 또는 3개층 이상인 공동주택
비주거용 건축물 - 연면적 495제곱미터 초과하는 건축물"
번호 98,건축허가 및 신고 대상 건축물 구분,"* 건축허가 대상건축물
- 신축 : 연면적 100제곱미터 이상 건축물
- 증축,재축,개축 : 바닥면적 85제곱미터 이상
- 대수선 : 연면적 200제곱미터 이상 또는 3층이상 건축물
* 건축신고 대상건축물
- 증축,개축,재축 : 바닥면적 85제곱미터 미만
- 대수선 : 연면적 200제곱미터 미만 또는 3층 미만
- 소규모건축물 신축 : 연면적 100제곱미터 미만 건축물
- 건물높이 3미터 이하의 범위안에서 증축하는 건축물"
번호 97,철거 시 지정석면조사기관에 의뢰하여 석면조사하여야 하는 대상,"질의 : 지정석면조사기간에 의하여 석면조사를 해야하는 대상
답변 : 건축물 연면적의 합이 50제곱미터, 주택의 경우 200제곱미터 이상이면서 철거,해체 면적이
50제곱미터, 주택의 경우 200제곱미터 이상일 경우 해당함."
번호 96,수선과 대수선의 차이점 및 대수선의 범위,"대수선 : 주요구조부에 대하여 해체하여 수선, 변경 또는 증설하는 것
수선 : 대수선 외의 변경을 하는 것으로 신고없이 변경 가능
대수선의 범위
- 내력벽을 증설 또는 해체하거나 그 벽면적을 30제곱미터 이상 수선 또는 변경하는 것
- 기둥을 증설 또는 해체하거나 세 개 이상 수선 또는 변경하는 것
- 보를 증설 또는 해체하거나 세 개 이상 수선 또는 변경하는 것
- 지붕틀을 증설 또는 해체하거나 세 개 이상 수선 또는 변경하느 것
- 방화벽 또는 방화구획을 위한 바닥 또는 벽을 증설 또는 해체하거나 수선 또는 변경하는 것
- 주계단,피난계단 또는 특별피난계단을 증설 또는 해체하거나 수선 또는 변경하는 것
- 미관지구에서 건축물의 외부형태(담장 포함)를 변경하는 것
- 다가구주택의 가구 간 경계벽 또는 다세대주택의 세대 간 경계벽을 증설 또는 해체하거나 수선 또는 변경하는 것"
번호 95,기존건축물의 지하층을 지상층으로 변경하는 경우의 증축인정 여부,"질의 : 기존건축물의 지하층을 지상층으로 변경하고자 하는 경우 건축법령상 증축에 해당하는지 여부?
답변 : 건축법령상 증축이라 함은 건축법 시행령 제2조제1항제2호의 규정에 의하여 기존건축물이 있는 대지 안에서 건축물의 건축면적, 연면적, 층수 또는 높이를 증가시키는 것을 말하는 것인 바, 건축물의 층수가 증가하는 경우에는 상기 규정에 의한 증축으로 보아야 함."
번호 94,기존건축물이 있는 대지에 신축신고 가능 여부,"ㅇ질의 : 기존건축물이 있는 대지에 신축신고를 할 수 있는지?
답변 : 기존건축물이 있는 대지 안에 새로이 건축물을 짓는 경우에는 건축법 시행령 제2호의
규정에 의하여 ""증축""에 해당하므로 신축신고할 수 없음."
번호 93,시설사용료 환불 방법을 알려주십시오.,"- 사용료 환불을 신청하실 분은 첨부한 “사용료 반환 청구서” 양식을 다운로드 받아 작성하신 후,아래의 이메일 또는 팩스로 전송하십시오.
※ 이메일 주소 :passion04@geumcheon.go.kr/ 팩스 번호 ☎ 2627-2254
- 이메일 또는 팩스 전송이 어려우시면 평생학습관을 방문하시어 교육정보센터에 비치된“사용료 반환 청구서”를 작성한 후 제출하십시오."
번호 92,수강료를 환불받고 싶은데요...,"- 수강료 환불을 신청하실 분은 첨부한 “수강료 반환 청구서” 양식을 다운로드 받아 작성하신 후, 아래의 이메일 또는 팩스로 전송하십시오.※ 이메일 주소 : passion04@geumcheon.go.kr / 팩스 번호 ☎ 2627-2254
No
구    분
반  환  금  액
제출 서류
1
수강신청 인원이 모집 정원의 3분의 1에 미달되거나, 특정 강좌에서 별도로 정한 최소인원에 미달되어 강좌가 폐강된 경우
수강료 전액
없음
2
강사, 학습장소 및 기타 평생학습관의 사유로 학습을 제공하지 못한 경우
수강료를 일일계산 후, 제공하지 못한 해당 일수에 해당하는 금액
없음
3
수강신청자가 개강 전일까지 신청을 취소하고 환불을 요청한 경우
수강료 전액
반환청구서
4
수강신청자가 개강일 이후 수강을 중단하고 환불을 요청한 경우
수강료를 일일계산 후, 잔여 일수에 해당하는 금액
반환청구서"
번호 91,강의실이나 동아리실 사용료 납부는 어떻게 합니까?,"1. 국가 또는 지방자치단체가 주최하는 행사
2. 국가 또는 지방자치단체가 후원하는 비영리행사
3. 그 밖에 구청장이 공익상 필요하다고 인정하는 행사
- 사용료 면제 대상자는 첨부한 “사용료 면제 신청서” 양식을 다운로드 받아 작성하신 후, 아래의 이메일 또는 팩스로 전송하십시오.
※ 이메일 주소 :passion04@geumcheon.go.kr/ 팩스 번호 ☎ 2627-2254
- 이메일 또는 팩스 전송이 어려우시면 평생학습관을 방문하시어 교육정보센터에 비치된 “사용료 면제 신청서”를 작성한 후 제출하십시오."
번호 90,평생학습관 시설을 사용하고 싶습니다.,"※ 이메일 주소 :passion04@geumcheon.go.kr/ 팩스 번호 ☎ 2627-2254<시설 이용 시간>
구    분
평일
토요일
강의실
오전 10시 ~ 오후 10시
오전 10시 ~ 오후 6시
동아리실
오전 10시 ~ 오후 9시
비고
일요일 및 법정 공휴일은 휴관하며, 그 외의 날에 ‘금천평생학습관’의 사정으로 휴관할 경우에는 사전에 별도 공지함. 구청장이 공익상 필요하다고 인정하는 경우 시간을 확장할 수 있음.
- 평생학습관에서는 “시설 사용 신청서” 접수 후, 시설운영에 지장이 없는 범위 내에서 사용허가 여부를 검토하여 그 결과를 신청자에게 통보하여 드립니다.-신청자는 계좌 체나 무통장입금 방식으로 사용료를 납부한 후에 “시설 사용 허가서”를 발급 받아야 시설을 이용할 수 있습니다.시설 사용료 기준은 다음과 같습니다.
<시설 사용료 기준>
구분
대 상
기준금액
비 고
강의실
제1강의실 (60석)
20,000원
- 1회 1시간 기준임
- 시간 초과 시 30분당
사용료의 25%를 가산
합니다.
제2강의실 (30석)
10,000원
제3, 제4강의실 (40석)
15,000원
동아리실
동아리실 1 (10석)
5,000원
동아리실 2 (20석)
10,000원"
번호 89,수강료 감면을 받을 수 있다고 하는데...,"1. 「국민기초생활 보장법」에 의한 국민기초생활 보장수급자
2. 「장애인복지법」에 의하여 등록된 장애인
3. 「노인복지법」에 의한 경로우대자
4. 「국가보훈기본법」에 의한 국가보훈대상자
- 수강료 감면 대상자는 첨부한 “수강료 감면 신청서” 양식을 다운로드 받아 작성하신 후, 아래의 이메일 또는 팩스로 전송하십시오.※ 이메일 주소 :passion04@geumcheon.go.kr/ 팩스 번호 ☎ 2627-2254
이메일 또는 팩스 전송이 어려우시면 평생학습관을 방문하시어 교육정보센터에 비치된 “수강료 감면 신청서”를 작성한 후 제출하십시오."
번호 88,수강료를 카드로 결제할 수 있습니까?,"- 현재는 수강료를 카드로 결제할 수 없습니다. 2012년도에 우리구 홈페이지가 새롭게 만들어지면 온라인 카드결제가 가능한 시스템을 갖출 예정입니다.- 유료강좌의 수강료는 계좌이체 또는 무통장입금 방식으로 납부하여야 하며, 수강료 납부시 수강신청자와 입금자의 이름이 일치하는지 확인하십시오.※계좌번호: (우리은행) 1006-801-357761, 예금주 : 금천평생학습관- 강좌 개시일 전일(월~금요일 근무시간 기준)까지 수강료가 입금되지 않으면 수강 신청이 취소되며, 취소된 인원수만큼 대기자에게 별도로 연락을 드립니다."
번호 87,수강신청은 어떻게 하나요?,"- 수강 신청은 온라인 선착순 접수를 원칙으로 합니다. 인터넷 활용이 어려운 어르신이나 불가피한 사정이 있는 경우, 전화 또는 직접 방문하시어 상담원의 도움을 받아 접수하십시오.
- 온라인 신청은“종합안내>개설강좌안내”페이지에서 원하는 강좌의 신청 버튼을 클릭 하십시오. 구청 홈페이지에 로그인이 되어 있는 상태에서만 수강 신청이 가능합니다.
- 신청 버튼을 클릭하였을 때 “대기자”임을 알리는 팝업창이 뜰 경우, “대기자”로 자동 등록되며, 수강신청자 중 취소, 미납, 환불 등 결원이 생기는 인원수만큼 별도 연락을 드립니다. 정확한 연락을 위해“마이페이지>회원정보수정“에서 본인의 휴대폰 번호가 올바른지 확인하십시오.
- 수강신청자가 모집정원의 1/3을 넘지 못하거나 별도로 정한 최소 수강인원에 미달될 경우, 폐강될 수 있습니다. 만약 강좌가 폐강되면 즉시 연락드리고, 납부한 수강료는 전액 환불됩니다."
번호 86,여행업을 등록하려면 어떻게 해야 되나요?,구비서류를 가지고 구청 11층 교육문화체육과로 오셔서신청하시길 바랍니다.<붙임문서의 내용>♣ 여행업의 종류♣ 여행업 등록 요건♣ 여행업 등록 시 구비서류♣ 수수료♣ 사업 개시 전 보증보험 또는 공제가입♣ 변경등록 시 구비서류
번호 85,금천구의 쓰레기수거 체계를 알고싶어요,"쓰레기 배출은 이렇게
-시간외 배출시 과태료 10만원-
◈ 쓰레기 배출은 이렇게!
▶배출시간 : 배출일일몰후 ~ 24:00시까지
※ 지역별일ㆍ화ㆍ목/ 월ㆍ수ㆍ금격일제로 지정된 요일에 배출
▶수거시간 :24:00시 ~ 익일 08:00시
▶배출장소 : 내집앞 대문앞 (잘 보이는 곳)
▶배출방법
☞일반쓰레기 -종량제규격봉투에 담아 묶어서 배출
☞음식물쓰레기 - 물기를 줄여전용봉투에 담아 음식물 수거용기에 배출
☞재 활 용 품 - 끈으로 묶거나,투명한비닐봉투에 담아  묶어서 배출
(모으면 재활용! 흩어지면 쓰레기!)
◈우리구 쓰레기 수거는 이렇게!
▶수거체계 : 위탁 또는 직영수거
- 위탁수거 :일반ㆍ음식물쓰레기 및 재활용품
- 직영수거 : 대형폐기물
▶수거방법 : 정시수거 / 격일제 문전수거
- 일반ㆍ음식물쓰레기 및 재활용품 → 24:00 ∼ 08:00
- 대형폐기물 → 06:00 ∼ 15:00"
번호 84,기간이 남았는데 전자여권으로 교체 가능한가요?,"전자여권은 강제사항이 아니고 기존에 소지하고 있는 여권의 유효기간까지 정상적으로 사용이 가능하기 때문에 희망에 의해 전자여권을 발급받고자 하실 경우 소지하고 있는 여권을 개인반납하신 후 전자여권을 신청하시면 됩니다.이 때 절차 및 수수료는 신규와 동일하며, 여권발급의 수수료는 발급시 부여되는 유효기간에 따라 부과되며 수수료는 책정시 그 구성요소와 착안점으로 여권책자원가, 정부용역대가, 타국의 사례 등이 포함되어 정해진 것 입니다.그러므로 전자여권으로 새로 발급을 받으실 경우 위와 같이 수수료 구성요소의 차이가 없으므로 재발급이라하여 수수료의 차이가 생기지 않습니다."
번호 83,미리 여권신청서를 작성해가려고 합니다. 신청서는 어디에서 받을 수 있나요?,
번호 82,여권발급시 수수료가 얼마죠?,"※  여권발급 수수료는 다음과 같습니다
구분
여권발급수수료
비고
복수
10년
24면
50,000원
48면
53,000원
5년
8세이상
24면
42,000원
48면
45,000원
8세미만
24면
30,000원
48면
33,000원
5년미만
24면
15,000원
잔여기간
25,000원
단수
1년
20,000원"
번호 81,여권을 택배로 받아볼수는 없나요?,"- 여권은 택배가 아닌 우체국 등기로 배송됩니다.
- 여권접수시 등기 신청서를 작성 하시고, 등기비 3천원을 착불로 지불하시면 여권을 등기로 받아 보실 수 있습니다.- 등기신청의 경우 직접 방문수령시보다 1~2일 정도 시간이 더 소요됩니다.
※ 등기 신청은 접수시에만 가능."
번호 80,대리인 여권 수령시 필요한 서류는 무엇인가요?,
번호 79,여권신청후 처리현황을 알고 싶습니다. 조회할 수 있는 방법이 있나요?,- 여권 처리현황은 외교통상부 홈페이지 http://www.0404.go.kr/passport/passport06.php 에서조회가능합니다.- 단 “발급”표시의 경우 여권이 외교통상부의 발급기에서 제작되었다는 것으로 구청 여권과에서 여권을 수령할 수 있는 상태를 의미하는 것은 아닙니다.https://passport.mofat.go.kr/JSP/passport/MOFAT_SEARCH.jsp
번호 78,만7세미만의 유아입니다. 여권신청은 어떻게 해야하는지요?,"* 과거 부 또는 모의 여권에 동반자녀로 병기하던 제도가 폐지되고 유아의 경우도 1인 1여권을소지하도록 되어 있습니다.* 여권신청 방법(만18세미만 미성년자 여권발급서류와 동일)
- 공통서류 : 전여권(기간만료전인 여권을 소지하고 있는 경우), 최근6개월 이내 촬영한 여권용 사진 1매, 수수료
- 법정대리인(친권자, 후견인) 신청시 : 법정대리인 신분증, 법정대리인 동의서
- 2촌이내 친족(18세이상) : 방문한 대리인의 신분증, 법정대리인 동의서 및 인감증명서(본인서명사실확인서), 위임장 및 위임자(법정대리인)의 신분증, 가족관계기록사항에 관한 증명서 또는 친족관계에 관한 법원의 결정문"
번호 77,여권발급시 수수료가 얼마죠?,"※  여권발급 수수료는 다음과 같습니다
구분
여권발급수수료
비고
복수
10년
24면
50,000원
48면
53,000원
5년
8세이상
24면
42,000원
48면
45,000원
8세미만
24면
30,000원
48면
33,000원
5년미만
24면
15,000원
잔여기간
25,000원
단수
1년
20,000원"
번호 76,여권을 택배로 받아볼수는 없나요?,"- 여권은 택배가 아닌 우체국 등기로 배송됩니다.
- 여권접수시 등기 신청서를 작성 하시고, 등기비 3천원을 착불로 지불하시면 여권을 등기로 받아 보실 수 있습니다.- 등기신청의 경우 직접 방문수령시보다 1~2일 정도 시간이 더 소요됩니다.
※ 등기 신청은 접수시에만 가능."
번호 75,대리인 여권 수령시 필요한 서류는 무엇인가요?,
번호 74,여권신청후 처리현황을 알고 싶습니다. 조회할 수 있는 방법이 있나요?,- 여권 처리현황은 외교통상부 홈페이지 http://www.0404.go.kr/passport/passport06.php 에서조회가능합니다.- 단 “발급”표시의 경우 여권이 외교통상부의 발급기에서 제작되었다는 것으로 구청 여권과에서 여권을 수령할 수 있는 상태를 의미하는 것은 아닙니다.https://passport.mofat.go.kr/JSP/passport/MOFAT_SEARCH.jsp
번호 73,만7세미만의 유아입니다. 여권신청은 어떻게 해야하는지요?,"* 과거 부 또는 모의 여권에 동반자녀로 병기하던 제도가 폐지되고 유아의 경우도 1인 1여권을소지하도록 되어 있습니다.* 여권신청 방법(만18세미만 미성년자 여권발급서류와 동일)
- 공통서류 : 전여권(기간만료전인 여권을 소지하고 있는 경우), 최근6개월 이내 촬영한 여권용 사진 1매, 수수료
- 법정대리인(친권자, 후견인) 신청시 : 법정대리인 신분증, 법정대리인 동의서
- 2촌이내 친족(18세이상) : 방문한 대리인의 신분증, 법정대리인 동의서 및 인감증명서(본인서명사실확인서), 위임장 및 위임자(법정대리인)의 신분증, 가족관계기록사항에 관한 증명서 또는 친족관계에 관한 법원의 결정문"
번호 72,아파트를 부부가 공유하는 경우 재산세 계산 방법은?,"주택공시가격의 60%를 적용과표로 한 산출세액을 부부 각자의 지분비율로 안분한 주택 재산세액을 각각 납부하게 됩니다.
즉, 세액 산출시 과표를 안분하는 것이 아니고 전체과표로 세액 산출 후 마지막에 지분에 따른 안분세액을 고지하는 것입니다."
번호 71,과세기준일 현재 상속이 개시된 재산으로 사실상 소유자를 미신고한 경우 납세의무자는?,"상속 미신고시 납세의무자는 행정자치부령으로 정하는 주된 상속자입니다.
여기서 주된 상속자란 민법상 상속지분이 가장 높은 사람으로 하되, 상속지분이 가장 높은 사람이 두명 이상이면 그 중 나이가 가장 많은 사람이 납세의무자가 됩니다."
번호 70,재산세 고지서는 어디로 배달됩니까?,"재산세 고지서는 주민등록상 주소지로 송달됩니다.(거소지를 별도 신청하신 분은 제외)
만약 고지서를 못받았거나 훼손 또는 분실한 경우에는 서울시내 모든 동 주민센터나 구청에서 재발급을 받을 수 있습니다."
번호 69,재산세 납세의무자는 누구 인지요?,"재산세의 과세기준일은 매년 6월 1일이고, 과세기준일 현재 재산을 사실상 소유하고 계시는 분에게 재산세가 고지됩니다."
번호 68,가로수(지장수목) 예치금 반환 신청서,
번호 67,가로수 이식 승인 신청서,
번호 66,집단급식소 설치운영신고사항 변경신고서,
번호 65,집단급식소 설치운영 중단신고서,
번호 64,식품접객업 위생교육 안내,"♣ 식품접객업 위생교육 안내 ♣
모든 식품접객업 영업자는『식품위생법(27조)』에 따라 영업을 시작하기 전, 또는 3개월 이내에
신규위생교육을, 그리고 매년 1회 기존영업주위생교육(보수교육) 을 받으셔야 합니다.
위생교육기관 (보건복지부장관 지정)
업종
교육일정
교육장소
지참물
문의전화
매주월, 수, 금
기독교연합회관(1호선 종로5가역 2번출구)
☎ 3672-3234~6한국음식업중앙회중앙교육원
교육일정추후 안내
서울시청소년수련관 7층강당(2호선 을지로3가역 2번출구)
☎ 425-6126~8한국휴게음식업중앙회
교육일정추후 안내
대한제과협회빌딩 세미나실(서초동 마산말길 15-15)
☎ 2055-3345대한제과협회
교육일정추후 안내
중구구민회관(동대문운동장역 13,14번출구)
☎ 2058-0823한국단란주점업중앙회
교육일정추후 안내
도봉구민회관(4호선 쌍문역 1번출구의정부방향 도보로 5분)
☎ 543-9955한국유흥음식업중앙회
교육일정추후 안내
서울시청소년수련관 7층강당(2호선 을지로3가역 2번출구)
☎ 425-6126~8한국휴게음식업중앙회
교육일정추후 안내
여의도사학연금회관 2층(5호선 여의도역 1,2번출구)
☎ 585-5052한국식품공업협회
교육일정추후 안내
여의도사학연금회관 2층(5호선 여의도역 1,2번출구)
☎ 585-5052한국식품공업협회
교육일정추후 안내
한국건강기능식품협회 참고(www.hfood.or.kr)
☎ 3479-2100한국건강기능식품협회
1. 신규 영업자 교육
일반음식점
신규로 영업을 하고자 하는 자는 미리 위생교육을 받아야 합니다.
신규위생교육 수료증을 구비하여야만 영업신고가 가능합니다.
휴게ㆍ자판
제과ㆍ유흥
단란ㆍ집단
위탁ㆍ얼음
영업신고 전 또는 신고 후 3개월 이내에 교육을 이수하여야 합니다 .
3개월 내에 이수하지 않을 경우 행정처분 대상이 됩니다.
※ 보통 한 달에 한번 교육일정이 잡혀져 있으니, 가급적 이른 시일
내에 교육을 이수하시기 바랍니다.
◆ 신규위생교육을 다시 받지 않아도 되는 경우 ◆
아래의 경우에 해당되는 영업주는 신규영업자 위생교육을 받지 않으셔도 됩니다.
단, 그 내용을 보건위생과 위생교육담당(☎890-2360)에게 통보해 주셔야 불이익을 받지 않습니다.
○ 신규위생교육을 받은 날부터 2년 이내에 교육을 받은 업종과 동일한 업종으로 영
업을 하고자 하는 경우
○ 휴게음식점, 일반음식점 또는 제과점 신규위생교육을 받은 날부터 2년 이내에 앞
3종류 영업 중 한가지의 영업을 하고자 하는 경우
○ 유흥주점 또는 단란주점 신규위생교육을 받은 날부터 2년 이내에 앞 2종류 영업
중 한가지의 영업을 하고자 하는 경우
○ 식품접객업을 하는 자가 식품자동판매기 영업을 하고자 하는 경우
○ 조리사 또는 영양사의 면허를 받은 자가 식품접객업을 하고자 하는 경우
○ 영업자 중 법인에 있어 대표자가 단순 변경되어 변경신고를 하는 경우
2. 기존 영업자 교육
모든 식품관련 영업자는 매년 1회 위생교육을 수료하여야 하여야 합니다.
위생교육을 받지 않은 경우에는 과태료 20만원이 부과됩니다.
따라서 영업주께서는 매년 관련 협회에 교육일정을 알아보시고, 교육을 알리는
공문이 우편으로 도착하였을 경우 반드시 일정에 따라 교육을 이수하셔야 합니다.
< 집단급식소 설치ㆍ운영자가 위탁급식 영업자와 계약을 하여 급식을 실시하는 경우>
집단 급식소의 설치ㆍ운영자에 대하여 매년 실시하는 위생교육은 신고된 집단급식소별로
위탁급식영업자(또는 식품위생관리책임자)가 받은 교육으로 갈음할 수 있습니다
※ 기타 문의사항은 보건위생과 위생교육담당(☎890-2360)에게 문의하시기 바랍니다.
그리고 위생교육에 대한 세부적인 사항은 해당 위생교육기관으로 문의하시면 자세
한 설명을 들으실 수 있습니다."
번호 63,건설기계 등록원부 등. 초본 발급시 필요한 서류에 대해 문의합니다,
번호 62,이.미용사면허 발급시 필요한 서류를 알고 싶습니다.,
번호 61,수렵면허 갱신기간은 어떻게 되나요?,
번호 60,어디서나 민원24 발급서류에는 어떤 것이 있습니까?,"민원24란 국민 누구나 행정기관 방문없이 집ㆍ사무실 등 어디서든, 24시간 365일 인터넷으로 필요한 민원을 안내받고, 신청하고, 발급ㆍ열람할 수 있는 서비스입니다.
민원24를 통하여 발급가능한 서류는 민원24 홈페이지를 통하여 확인바랍니다.
☞민원24 바로가기"
번호 59,대형생활폐기물 배출은 어떻게 하나요?,"1. 종량제 규격봉투 판매소(인근 마트)에서 적정 가격의 폐기물 신고필증 스티커를 구매합니다.
2. 성명, 주소, 연락처를 기록한 뒤, 폐기물에 부착 후 집밖에 배출합니다.
3. 해당 동 주민센터나 구청 청소행정과에 전화로 신고를 합니다.
4. 금천구청 홈페이지에 방문하시면 인터넷으로 신청도 가능합니다.
5. 배출시간은 신고필증 스티커만 붙어있으면 24시간 배출 가능합니다
6. 신고필증 스티커를 부착하지 않고 배출시에는 무단투기로 적발됩니다 (최고 100만원 이하의 과태료 부과)
7. 수거시간은 07:00 ~ 15:00 이며 대형폐기물 수거차량이 해당지역을 순회하며 수거합니다.
8. 토요일, 일요일, 공휴일은 대형폐기물을 수거 하지 않습니다.
9. 대형폐가전(TV, 세탁기, 냉장고, 에어컨 )등은 1599-0903으로 전화하시면 무상으로 처리하고 있습니다.
10. 소형폐가전(팩스, 선풍기, 다리미, 오디오, 컴퓨터 등)은 동 주민센터에 전화 신고 후 배출하시면 됩니다.
기타 문의사항은 금천구청 청소행정과(02-2627-1476)로 전화 주시기 바랍니다."
번호 58,재즈댄스 강좌,
번호 57,대중교통 이용법,
번호 56,수영장 수질관리,
번호 55,셔틀버스 운행,
번호 54,유아스포츠단 운영,
번호 53,회원모집,
번호 52,토요일 체육관 자유이용권,
번호 51,1일 유료대관,
번호 50,구연동화 운영,
번호 49,휴장관계,
번호 48,국가 유공자 우대,
번호 47,1일 유료대관,
번호 46,구연동화 운영,
번호 45,휴장관계,
번호 44,국가 유공자 우대,
